game_id,year_id,comp_id,phase_id,part_id,team_id,opp_team_id,opp_comp_id,opp_phase_id,team_game_num_season,home_away_neutral,win,loss,tie,pts,opp_pts,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg3,opp_fg3a,opp_ft,opp_fta,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,last_modified
201411240CLE,2015,NBA,REG,NULL,CLE,ORL,NBA,REG,13,h,1,0,0,106,74,240,42,81,6,16,16,22,12,44,30,14,9,12,23,29,80,5,17,11,15,13,40,14,5,3,17,17,"2022-08-03 08:56:59"
201411240CLE,2015,NBA,REG,NULL,ORL,CLE,NBA,REG,16,a,0,1,0,74,106,240,29,80,5,17,11,15,13,40,14,5,3,17,17,42,81,6,16,16,22,12,44,30,14,9,12,23,"2022-08-03 08:56:59"
201411240DAL,2015,NBA,REG,NULL,DAL,IND,NBA,REG,15,h,0,1,0,100,111,240,40,80,8,24,12,21,6,37,21,6,6,12,28,37,77,13,26,24,36,8,44,20,6,4,12,21,"2022-08-03 08:56:59"
201411240DAL,2015,NBA,REG,NULL,IND,DAL,NBA,REG,14,a,1,0,0,111,100,240,37,77,13,26,24,36,8,44,20,6,4,12,21,40,80,8,24,12,21,6,37,21,6,6,12,28,"2022-08-03 08:56:59"
201411240HOU,2015,NBA,REG,NULL,HOU,NYK,NBA,REG,14,h,1,0,0,91,86,240,32,76,14,36,13,19,10,38,19,13,4,16,19,35,76,6,22,10,15,9,40,25,8,5,17,20,"2022-08-03 08:56:59"
201411240HOU,2015,NBA,REG,NULL,NYK,HOU,NBA,REG,15,a,0,1,0,86,91,240,35,76,6,22,10,15,9,40,25,8,5,17,20,32,76,14,36,13,19,10,38,19,13,4,16,19,"2022-08-03 08:56:59"
201411240PHI,2015,NBA,REG,NULL,PHI,POR,NBA,REG,14,h,0,1,0,104,114,240,42,84,0,8,20,24,7,29,28,11,6,10,20,44,89,7,27,19,23,18,52,30,6,5,15,19,"2022-08-03 08:56:59"
201411240PHI,2015,NBA,REG,NULL,POR,PHI,NBA,REG,14,a,1,0,0,114,104,240,44,89,7,27,19,23,18,52,30,6,5,15,19,42,84,0,8,20,24,7,29,28,11,6,10,20,"2022-08-03 08:56:59"
201411240TOR,2015,NBA,REG,NULL,PHO,TOR,NBA,REG,15,a,0,1,0,100,104,240,39,84,14,33,8,11,11,42,22,6,3,20,26,37,82,4,17,26,32,8,37,21,9,3,12,20,"2022-08-03 08:56:59"
201411240TOR,2015,NBA,REG,NULL,TOR,PHO,NBA,REG,14,h,1,0,0,104,100,240,37,82,4,17,26,32,8,37,21,9,3,12,20,39,84,14,33,8,11,11,42,22,6,3,20,26,"2022-08-03 08:56:59"
